#query id=151 conceptLabel=Pizza conceptURI=07889783  labels=[round, tomato, food, italy]
0	04386330	[table]
1	07591291	[dinner]
2	10043844	[domestic]
3	07769568	[banana]
4	08196373	[rich]
5	12122650	[grass]
6	07755101	[apple]
7	07590167	[breakfast]
8	15236602	[june]
9	07902824	[beer]
10	01505702	[bird]
11	07556254	[defeat, frustration]
12	07889783	[pizza]
13	15162842	[vacation, holiday]
14	07939004	[cocoa, chocolate]
15	02537365	[salmon]
16	02852392	[cover, blanket]
17	15262047	[summer, summertime]
18	03549540	[house]
19	07765558	[lemon]
20	07317454	[fire]
21	07728304	[chip, crisp]
22	02781674	[ball]
23	13124818	[tree]
24	03226423	[door]
25	05407190	[blood]
26	04969961	[red, redness]
27	06422547	[book]
28	11521799	[rain, rainfall]
29	01331343	[virus]
30	02406106	[cow]
31	04497386	[truck]
32	10148670	[heavyweight, whale, giant, hulk]
33	07558676	[love]
34	02086723	[dog]
35	00472688	[ball, baseball]
36	04341737	[street]
37	14869913	[h2o, water]
38	09240137	[beach]
39	12958438	[carrot]
40	09339360	[island]
41	05309998	[mouth]
42	03086983	[computer]
43	09846929	[baby, babe, infant]
44	08893849	[london]
45	10895767	[obama]
46	04408223	[phone, telephone]
47	06370600	[website, site]
48	02124272	[cat]
49	04594951	[window]
50	04466597	[towel]
51	03005231	[chair]
52	09473312	[sun]
53	07074002	[pop]
54	10352098	[mother]
55	10372030	[neighbour, neighbor]
56	07034009	[music]
57	07658542	[jam]
58	05262259	[hair]
59	00120388	[jumping, jump]
60	04125115	[carpeting, rug, carpet]
61	08293641	[school]
62	07456888	[spin]
63	13407086	[currency]
64	05396148	[ticker, pump, heart]
65	10518940	[queen]
66	04396120	[tank]
67	00007846	[individual, someone, person, soul, somebody, mortal]
68	10344679	[hero]
69	04481701	[trap]
70	04094238	[rib]
71	12168056	[bamboo]
72	06820056	[number, numeral]
73	13149924	[stalk, stem]
74	07324399	[motion, movement]
75	07135232	[call, yell, cry, outcry, shout]
76	07726361	[murphy, tater, potato, spud]
77	09784701	[actor, thespian, player]
78	09895920	[brother]
79	02803656	[basement, cellar]
80	02506148	[elephant]
81	09382700	[mountain, mount]
82	03241438	[dress, frock]
83	03472916	[gun]
84	09569105	[ghost]
85	03796045	[motorcycle, bike]
86	11478731	[fog]
87	07419737	[avalanche]
88	10842973	[armstrong]
89	03539152	[ring, hoop]
90	05722413	[fragrance, scent, perfume, aroma]
91	10713754	[teacher, instructor]
92	00482004	[basketball, hoops]
93	05570899	[foot, pes]
94	03036237	[cinema]
95	07499687	[ambition, dream, aspiration]
96	02824762	[bedchamber, chamber, bedroom]
97	05138912	[altitude, height]
98	03565341	[idol, god]
99	03931348	[photograph, exposure, photo, pic, picture]
100	03914323	[pencil]
101	08928282	[bali]
102	08201135	[horde, swarm, drove]
103	02785352	[balloon]
104	09559169	[god]
105	02777635	[baggage, luggage]
106	08206141	[circus]
107	04263630	[sofa, lounge, couch]
108	02209508	[bee]
109	02392211	[donkey]
110	02953692	[cannon]
111	09054023	[suisse, switzerland, schweiz, svizzera]
112	02961779	[automobile, auto, car, machine, motorcar]
113	10302734	[carrier, mailman, postman]
114	06287933	[tv, telecasting, television, video]
115	07838173	[catsup, ketchup]
116	03681809	[lipstick]
117	09331478	[berg, iceberg]
118	03637568	[ladder]
119	03254045	[pharmacy, drugstore]
120	03944520	[pillow]
121	02584588	[dolphin]
122	14048353	[sleep, slumber]
123	14706294	[molecule]
124	04544161	[violin, fiddle]
125	08306203	[hip-hop]
126	10541255	[reporter, newsman]
127	01677105	[lizard]
128	13477888	[decay]
129	02951508	[taper, candle]
130	03934354	[piano, pianoforte]
131	15221372	[christmastime, yuletide, christmastide, noel, christmas, yule]
132	09493680	[vent, volcano]
133	04976072	[blue, blueness]
134	14975368	[methane]
135	01864419	[mammalian, mammal]
136	03167484	[dart]
137	03193215	[napkin, diaper, nappy]
138	00884975	[education, didactics, instruction, pedagogy, teaching]
139	02326697	[coney, rabbit, cony]
140	02927500	[bus, jitney, charabanc, omnibus, motorcoach, double-decker, autobus, motorbus, coach]
141	07623214	[lollipop, sucker]
142	11484542	[gravitation, gravity]
143	04216306	NOT_FOUND
144	15207154	NOT_FOUND
145	04564934	NOT_FOUND
146	03350333	NOT_FOUND
147	04516244	[underclothes, underwear]
148	11542373	[uv, ultraviolet]
149	06790941	[gag, jest, jape, joke, laugh]
150	09950623	[clown, buffoon]
151	15080200	[vapour, vapor]
152	09567238	[vampire, lamia]
153	03181260	[deodorant]
154	13793968	[droplet]
155	14383864	[spasm, cramp]
156	04233049	[skateboard]
157	01642406	[frog, toad, anuran]
158	10686626	[stupid, dullard, dolt]
159	03180509	[floss]
160	09583190	[cupid, amor]
161	11271521	[rachmaninoff, rachmaninov]
162	05906432	[ufo]
163	04613932	[spanner, wrench]
164	02441664	[giraffe]
165	11547628	[x-ray]
166	09376006	[meteoroid, meteor]
167	03788963	[monocle, eyeglass]
168	04378312	[natatorium]
169	04169767	[seatbelt]
170	07270666	[telepathy]
171	10672142	[stationer]
